Evaluator,Customer,One-Way Miles,Round-Trip Miles,Drive Time (min), 2026 Cost , Bonus , Total 
Buchinger,AGI Construction,418.94,837.87,753.5, $607.46 , $-   ," $1,332.46 "
Buchinger,Atmospheric Corrosion Specialists,292.49,584.97,537.1, $424.10 , $-   , $899.10 
Buchinger,Avangrid Adams Ma,310.69,621.37,599.3, $450.49 , $-   , $925.49 
Buchinger,Avangrid East Hartford Ct,357.67,715.34,657.5, $518.62 , $-   , $993.62 
Buchinger,Avangrid Rochester Ny,52.52,105.03,97, $76.15 , $-   , $76.15 
Buchinger,Avangrid Trumbull,325.68,651.37,618.8, $472.24 , $-   , $947.24 
Buchinger,Bancker Construction,346.94,693.89,672.8, $503.07 , $-   , $978.07 
Buchinger,Barber Utilities,372.06,744.11,672.6, $539.48 , $-   ," $1,014.48 "
Buchinger,Bay State Piping Company Inc. (NGA),435.75,871.49,778.4, $631.83 , $-   ," $1,356.83 "
Buchinger,Berkshire Gas,305.41,610.82,573.8, $442.84 , $-   , $917.84 
Buchinger,Bermex Inc,55.61,111.22,103.4, $80.63 , $-   , $80.63 
Buchinger,Bond Civil Utility,433.79,867.58,773.5, $629.00 , $-   ," $1,354.00 "
Buchinger,Burns Construction Co. (Nga),337.1,674.2,627.7, $488.80 , $-   , $963.80 
Buchinger,Burrows Bros Inc.,66.54,133.08,123, $96.48 , $-   , $96.48 
Buchinger,C. B. Utility,333.25,666.49,646.1, $483.21 , $-   , $958.21 
Buchinger,Capstone Energy (Nga),227.76,455.53,419.1, $330.26 , $-   , $805.26 
Buchinger,Centerline Utility Services,587.19,1174.38,1044.9, $851.43 , $-   ," $1,576.43 "
Buchinger,Centuri,333.36,666.72,636.9, $483.37 , $-   , $958.37 
Buchinger,Certa Cote,340.58,681.15,668, $493.83 , $-   , $968.83 
Buchinger,Clarks Back Roads Enterprises (Nga),55.54,111.07,112.6, $80.53 , $-   , $80.53 
Buchinger,Collins Plumbing Corp (Nga),308.21,616.41,577.7, $446.90 , $-   , $921.90 
Buchinger,Composite Technology & Infrastructure,276.82,553.64,488.6, $401.39 , $-   , $876.39 
Buchinger,Con Edison (Nga),311.06,622.11,579.7, $451.03 , $-   , $926.03 
Buchinger,Corning Natural Gas,48.39,96.78,90.4, $70.17 , $-   , $70.17 
Buchinger,Corrtech Corrosion Engineering,407.16,814.33,720.2, $590.39 , $-   ," $1,315.39 "
Buchinger,D&G Contractors Inc,343.19,686.37,635, $497.62 , $-   , $972.62 
Buchinger,DDS Utilities Cortland,117.82,235.65,263.1, $170.85 , $-   , $395.85 
Buchinger,DDS Utilities West Henrietta,43.6,87.21,84.4, $63.23 , $-   , $63.23 
Buchinger,Dekatherm,153.03,306.07,275.8, $221.90 , $-   , $446.90 
